municipality_clean,permit_count,simpson_index,shannon_index,foreign_born_pct,mean_income_sek,rental_share,owner_share,total_population,total_dwellings,permits_per_1000_pop,permits_per_1000_dwellings
Ale,11,0.3017631400523239,0.4791419456058192,0.1851692042162362,300934.05042224005,0.2728604923798358,0.7270662368112544,32446.0,13648.0,0.3390248412747334,0.805978898007034
Alingsås,20,0.2157069159105804,0.3728142692844727,0.1229767354065405,274516.9977820773,0.3758929017433438,0.624057145711574,42382.0,20019.0,0.4718984474541079,0.9990509016434388
Alvesta,5,0.3239896205592807,0.5050024542343609,0.2033433133732534,227054.6506986028,0.3397175262144233,0.6602824737855767,20040.0,9346.0,0.249500998003992,0.5349882302589344
Aneby,3,0.2320521038765064,0.3938746599638497,0.1339754816112084,232125.13134851132,0.2739938080495355,0.7244582043343654,6852.0,3230.0,0.43782837127845886,0.9287925696594427
Arjeplog,11,0.1922078555508757,0.3416881199053466,0.1077041011881947,225794.5573016481,0.4056549336410848,0.5920369301788806,2609.0,1733.0,4.216174779609045,6.3473744950952105
Arvidsjaur,7,0.177561214285651,0.3217273135480415,0.0984786520530018,237247.8652053002,0.4310883773799375,0.5689116226200626,6113.0,3519.0,1.1451006052674626,1.9892014776925264
Arvika,19,0.223562387752934,0.3829929651712867,0.1282221010824702,231908.687018145,0.3784530386740331,0.6215469613259669,25682.0,13756.0,0.7398177712016198,1.3812154696132597
Askersund,8,0.1699130264914925,0.3111168012028408,0.0937445548004878,229068.9492943021,0.3334423548650858,0.6665576451349141,11478.0,6115.0,0.6969855375500958,1.3082583810302535
Avesta,9,0.2804555107811688,0.4537886775545952,0.1686810530479497,223155.4212631301,0.3151277328421558,0.684712100584608,22753.0,12487.0,0.39555223487012703,0.7207495795627452
Bengtsfors,17,0.3046361998491935,0.4825173849503504,0.1874589625738673,195479.6782665791,0.3617721029212614,0.6382278970787386,9138.0,5169.0,1.8603633180126942,3.2888372992841943
Berg,3,0.1682412572872287,0.308779502099807,0.0927170868347339,200531.9607843137,0.2489193999491482,0.7472667175184338,7140.0,3933.0,0.42016806722689076,0.7627765064836003
Bjurholm,2,0.1889316798667319,0.3372626056315068,0.1056218057921635,194015.6729131176,0.2519616390584132,0.7480383609415867,2348.0,1147.0,0.8517887563884157,1.7436791630340018
Bjuv,9,0.3929657599266669,0.5819238140309646,0.2686623246492986,232425.3256513026,0.2908550185873605,0.7086988847583643,15968.0,6725.0,0.5636272545090181,1.338289962825279
Boden,21,0.1903194711786229,0.3391399544756509,0.1065025229932362,255394.0342840783,0.4269783944750681,0.5728948869036304,27943.0,15783.0,0.7515299001538848,1.3305455236647026
Bollebygd,7,0.1869809245390929,0.3346169298592943,0.1043871365457721,291136.9156477962,0.2245443499392466,0.7754556500607533,9733.0,4115.0,0.7192027124216583,1.7010935601458081
Bollnäs,22,0.2004747758159161,0.3527589611823893,0.1130082531990611,209528.70447489969,0.4090685066535239,0.5907202703654157,26414.0,14203.0,0.8328916483682895,1.5489685277758218
Borgholm,22,0.1803274189958434,0.3255324890062991,0.1002046892445106,172908.28991440267,0.2164009111617311,0.7835990888382688,10748.0,6146.0,2.0468924451060664,3.5795639440286364
Borlänge,24,0.2976347037867191,0.4742740777893932,0.1819077993621339,239991.3791437132,0.3837670762420819,0.6161947645577349,51735.0,26206.0,0.46390258045810384,0.9158208043959398
Borås,79,0.3706163740077737,0.5575101765981019,0.2456541468863446,260591.55787489528,0.4679631014709549,0.5319656658474908,114592.0,56154.0,0.6894024015638089,1.406845460697368
