permit_id,property_name,municipal_case_id,publication_date,municipality,permit_type_num,permit_type,longitude,latitude
137593,SICKLAÖN 387:1,K821874/25,2025-11-03,Nacka,0,Bygglov,18.17378666526393,59.310100053486075
137603,SÄLEN 2,K821890/25,2025-11-03,Täby,2,Marklov,18.06457405090332,59.44383972167969
137611,Dalen 15,K822092/25,2025-11-03,Stockholm,0,Bygglov,18.09584444219416,59.288521159778945
137614,KORNKNARREN 4,K821906/25,2025-11-03,Sundbyberg,0,Bygglov,17.954171180725098,59.37224626541138
137622,Sätra 2:1,K822147/25,2025-11-03,Stockholm,0,Bygglov,17.93692741309083,59.28949735849631
137623,SKOLAN 11,K822178/25,2025-11-03,Danderyd,0,Bygglov,18.0452561378479,59.38707701365153
137635,Vinsta 5:1,K822176/25,2025-11-03,Stockholm,0,Bygglov,17.849962748534292,59.37450890507258
137656,Lysningsvisiten 4,K821988/25,2025-11-03,Stockholm,0,Bygglov,17.88850736618042,59.37520933151245
137662,Krubban 18,K822015/25,2025-11-03,Stockholm,0,Bygglov,18.088826656341553,59.334726651509605
137666,SICKLAÖN 37:84,K822040/25,2025-11-03,Nacka,0,Bygglov,18.121585726737976,59.31533703804016
137670,Bangården 1,K822123/25,2025-11-03,Stockholm,0,Bygglov,18.031129201253254,59.311429023742676
137672,Linaberg 11,K822138/25,2025-11-03,Stockholm,0,Bygglov,17.952714573253285,59.363767797296696
137680,ELDHAVET 1,K822027/25,2025-11-03,Sollentuna,0,Bygglov,17.97516320881091,59.464707023219056
137682,ETSNINGEN 10,K822053/25,2025-11-03,Sollentuna,0,Bygglov,17.95718224843343,59.4424934387207
137704,LIDINGÖ 4:349,K821998/25,2025-11-03,Lidingö,0,Bygglov,18.104951313563756,59.376844133649556
137705,MOTORN 1,K822013/25,2025-11-03,Huddinge,0,Bygglov,18.143213272094727,59.222975413004555
137711,TIMMERHUGGAREN 1,K822250/25,2025-11-03,Danderyd,0,Bygglov,18.050111134847004,59.39510186513265
137723,REPSLAGAREBANAN 1,K821999/25,2025-11-03,Lidingö,0,Bygglov,18.133086613246373,59.362860699089204
137737,GLÄNTAN 7,K822518/25,2025-11-03,Lidingö,0,Bygglov,18.178558667500813,59.37121264139811
137754,HÖGMORA 2:23,K822159/25,2025-11-03,Huddinge,2,Marklov,18.053999312380526,59.24287211641352
137757,Norrmalm 2:63,K822162/25,2025-11-03,Stockholm,0,Bygglov,18.071830043425926,59.33374991783729
137761,Svedmyra 1:1,K822077/25,2025-11-03,Stockholm,0,Bygglov,18.066826248168944,59.27389984130859
137770,Polstjärnan 2,K822110/25,2025-11-03,Stockholm,0,Bygglov,18.053781032562256,59.34404706954956
