region,total_population,inrikes_fodda,utrikes_fodda,foreign_born_pct,mean_income_tkr,mean_income_sek,total_dwellings,hyresrätt_share,bostadsrätt_share,äganderätt_share,rental_share,owner_share,deso_name
Upplands Väsby (Bollstanäs),5920,4843,1077,0.18192567567567566,409.7,409700.0,2208,0.024456521739130436,0.3754528985507246,0.6000905797101449,0.024456521739130436,0.9755434782608695,Upplands Väsby (Bollstanäs)
Upplands Väsby (Hammarby-Vaxmyra),2884,1894,990,0.3432732316227462,291.0,291000.0,1148,0.2465156794425087,0.5017421602787456,0.25174216027874563,0.2465156794425087,0.7534843205574913,Upplands Väsby (Hammarby-Vaxmyra)
Upplands Väsby (Odenslunda norra-Frestaby-Ekeby),5112,3890,1222,0.2390453834115806,356.4,356400.0,1738,0.09781357882623705,0.23878020713463752,0.6634062140391255,0.09781357882623705,0.9021864211737629,Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)
Upplands Väsby (Odenslunda södra-Bredden),3266,2496,770,0.23576240048989588,322.5,322500.0,1154,0.06759098786828423,0.006065857885615251,0.9263431542461005,0.06759098786828423,0.9324090121317158,Upplands Väsby (Odenslunda södra-Bredden)
Upplands Väsby (Runby norra),1922,1427,495,0.2575442247658689,313.5,313500.0,899,0.5483870967741935,0.19799777530589543,0.25361512791991103,0.5483870967741935,0.45161290322580644,Upplands Väsby (Runby norra)
Upplands Väsby (Runby södra-Ed),5543,3789,1754,0.31643514342413853,322.0,322000.0,2321,0.4433433864713486,0.3864713485566566,0.17018526497199482,0.4433433864713486,0.5566566135286515,Upplands Väsby (Runby södra-Ed)
Upplands Väsby (Skälby-Brunnby Vik),3650,2432,1218,0.3336986301369863,289.8,289800.0,1586,0.5353089533417402,0.09394703656998739,0.3707440100882724,0.5353089533417402,0.4646910466582598,Upplands Väsby (Skälby-Brunnby Vik)
Upplands Väsby (Smedby södra-Älvsunda),2364,1356,1008,0.4263959390862944,236.8,236800.0,1095,0.2493150684931507,0.7452054794520548,0.005479452054794521,0.2493150684931507,0.7506849315068493,Upplands Väsby (Smedby södra-Älvsunda)
Upplands Väsby (Upplands Väsby centrum-Smedby norra),5811,2763,3048,0.5245224574083635,215.5,215500.0,2924,0.728796169630643,0.2694938440492476,0.001709986320109439,0.728796169630643,0.271203830369357,Upplands Väsby (Upplands Väsby centrum-Smedby norra)
Upplands Väsby (Upplands Väsby omland),898,734,164,0.18262806236080179,304.2,304200.0,313,0.21405750798722045,0.03514376996805112,0.7507987220447284,0.21405750798722045,0.7859424920127795,Upplands Väsby (Upplands Väsby omland)
Upplands Väsby (Vilunda västra),5280,3120,2160,0.4090909090909091,284.6,284600.0,2858,0.30300909727081876,0.5608817354793562,0.13610916724982505,0.30300909727081876,0.6969909027291813,Upplands Väsby (Vilunda västra)
Upplands Väsby (Vilunda östra),7460,3722,3738,0.5010723860589812,230.0,230000.0,3399,0.47602235951750516,0.48220064724919093,0.041776993233303916,0.47602235951750516,0.5239776404824948,Upplands Väsby (Vilunda östra)
Vallentuna (Karby-Brottby),1156,1000,156,0.13494809688581316,331.5,331500.0,504,0.21428571428571427,0.08531746031746032,0.7003968253968254,0.21428571428571427,0.7857142857142857,Vallentuna (Karby-Brottby)
Vallentuna (Lindholmen),1418,1259,159,0.11212976022566996,388.6,388600.0,504,0.03968253968253968,0.16865079365079366,0.7916666666666666,0.03968253968253968,0.9603174603174603,Vallentuna (Lindholmen)
Vallentuna (Vallentuna centrala tätort),8032,5988,2044,0.2544820717131474,254.8,254800.0,4411,0.2498299705282249,0.6073452731806847,0.14282475629109045,0.2498299705282249,0.7501700294717751,Vallentuna (Vallentuna centrala tätort)
Vallentuna (Vallentuna landsbygd),6198,5223,975,0.15730880929332042,313.3,313300.0,2594,0.09290670778720124,0.05088666152659985,0.856206630686199,0.09290670778720124,0.9070932922127988,Vallentuna (Vallentuna landsbygd)
Vallentuna (Vallentuna södra tätort),8408,7351,1057,0.12571360608943863,435.4,435400.0,3221,0.0049674014281279105,0.43713132567525614,0.557901272896616,0.0049674014281279105,0.9950325985718721,Vallentuna (Vallentuna södra tätort)
Vallentuna (Vallentuna västra tätort),2725,2302,423,0.15522935779816513,389.4,389400.0,1037,0.08486017357762778,0.15911282545805208,0.7560270009643202,0.08486017357762778,0.9151398264223722,Vallentuna (Vallentuna västra tätort)
Vallentuna (Vallentuna östra tätort),7139,6133,1006,0.14091609469113323,395.8,395800.0,2389,0.01590623691921306,0.14650481372959398,0.837588949351193,0.01590623691921306,0.9840937630807869,Vallentuna (Vallentuna östra tätort)
Österåker (Berga),5273,3903,1370,0.25981414754409254,259.0,259000.0,2738,0.2713659605551497,0.5306793279766253,0.197954711468225,0.2713659605551497,0.7286340394448503,Österåker (Berga)
Österåker (Brevik-Lervik-Flaxenvik),5764,5036,728,0.12630117973629423,412.4,412400.0,1875,0.027733333333333332,0.024533333333333334,0.9477333333333333,0.027733333333333332,0.9722666666666666,Österåker (Brevik-Lervik-Flaxenvik)
Österåker (Hacksta-Centrumområdet),1768,1349,419,0.23699095022624433,247.3,247300.0,897,0.2853957636566332,0.4559643255295429,0.25863991081382387,0.2853957636566332,0.7146042363433668,Österåker (Hacksta-Centrumområdet)
Österåker (Ljusterö-omkringliggande skärgård),2137,1891,246,0.11511464670098269,204.0,204000.0,999,0.12212212212212212,0.07007007007007007,0.8078078078078078,0.12212212212212212,0.8778778778778779,Österåker (Ljusterö-omkringliggande skärgård)
Österåker (Margeretelunds centrum),4889,4160,729,0.14911024749437513,378.6,378600.0,1750,0.06571428571428571,0.31542857142857145,0.6188571428571429,0.06571428571428571,0.9342857142857143,Österåker (Margeretelunds centrum)
Österåker (Norrgårdshöjden),2573,1570,1003,0.38981733385153516,197.1,197100.0,1369,0.8918918918918919,0.10810810810810811,0.0,0.8918918918918919,0.10810810810810811,Österåker (Norrgårdshöjden)
Österåker (Roslagskulla-Furusundsleden),2422,2074,348,0.14368290668868702,307.9,307900.0,1041,0.14121037463976946,0.0,0.8578290105667628,0.14121037463976946,0.8578290105667628,Österåker (Roslagskulla-Furusundsleden)
Österåker (Rydbo),707,624,83,0.1173974540311174,405.4,405400.0,261,0.019157088122605363,0.06130268199233716,0.9195402298850575,0.019157088122605363,0.9808429118773946,Österåker (Rydbo)
Österåker (Skånsta-Singö),3943,3269,674,0.17093583565812834,365.9,365900.0,1313,0.041888804265041886,0.057882711348057884,0.9002284843869002,0.041888804265041886,0.9581111957349581,Österåker (Skånsta-Singö)
Österåker (Stava-Smedby-Sjökarby),5595,4713,882,0.15764075067024128,353.3,353300.0,2010,0.16318407960199005,0.004477611940298508,0.8323383084577114,0.16318407960199005,0.83681592039801,Österåker (Stava-Smedby-Sjökarby)
Österåker (Svinninge),3364,2908,456,0.13555291319857313,467.2,467200.0,1044,0.032567049808429116,0.0842911877394636,0.8831417624521073,0.032567049808429116,0.9674329501915708,Österåker (Svinninge)
Österåker (Söra),2775,2028,747,0.2691891891891892,273.0,273000.0,1330,0.343609022556391,0.2857142857142857,0.3706766917293233,0.343609022556391,0.656390977443609,Österåker (Söra)
Österåker (Tuna),2698,2315,383,0.1419570051890289,343.2,343200.0,1190,0.010924369747899159,0.526890756302521,0.46218487394957986,0.010924369747899159,0.9890756302521009,Österåker (Tuna)
Österåker (Täljö-Runö),2735,2278,457,0.16709323583180988,459.4,459400.0,987,0.1752786220871327,0.22391084093211752,0.6008105369807497,0.1752786220871327,0.8247213779128673,Österåker (Täljö-Runö)
Österåker (Österskär),2639,2392,247,0.09359605911330049,470.3,470300.0,910,0.02197802197802198,0.09340659340659341,0.8846153846153846,0.02197802197802198,0.978021978021978,Österåker (Österskär)
Värmdö (Björnkärret-Nyhem),2108,1739,369,0.17504743833017078,279.4,279400.0,951,0.45215562565720296,0.17665615141955837,0.3711882229232387,0.45215562565720296,0.5478443743427971,Värmdö (Björnkärret-Nyhem)
Värmdö (Djurö-Vindö),2013,1770,243,0.12071535022354694,233.9,233900.0,979,0.19816138917262513,0.026557711950970377,0.7752808988764045,0.19816138917262513,0.8018386108273748,Värmdö (Djurö-Vindö)
Värmdö (Farstalandet-Charlottendal),5182,4386,796,0.15360864531069085,358.1,358100.0,2746,0.17115804806991988,0.7137654770575382,0.11507647487254188,0.17115804806991988,0.8288419519300801,Värmdö (Farstalandet-Charlottendal)
Värmdö (Hagaberg),2007,1842,165,0.08221225710014948,558.3,558300.0,663,0.12669683257918551,0.0693815987933635,0.803921568627451,0.12669683257918551,0.8733031674208145,Värmdö (Hagaberg)
Värmdö (Hemmesta),3544,3087,457,0.12895033860045146,354.0,354000.0,1349,0.30689399555226093,0.04373610081541883,0.6493699036323203,0.30689399555226093,0.6931060044477391,Värmdö (Hemmesta)
Värmdö (Herrviksnäs-Strömma-Hässelmara),2411,2078,333,0.1381169639153878,368.4,368400.0,928,0.023706896551724137,0.12607758620689655,0.8502155172413793,0.023706896551724137,0.9762931034482759,Värmdö (Herrviksnäs-Strömma-Hässelmara)
Värmdö (Ingarö norr),4418,3915,503,0.11385242191036668,391.4,391400.0,1697,0.22333529758397172,0.022392457277548614,0.7542722451384797,0.22333529758397172,0.7766647024160283,Värmdö (Ingarö norr)
Värmdö (Ingarö söder),3543,3059,484,0.13660739486311035,317.7,317700.0,1410,0.015602836879432624,0.0,0.9843971631205674,0.015602836879432624,0.9843971631205674,Värmdö (Ingarö söder)
Värmdö (Kvarnberget-Hästhagen),2511,2096,415,0.16527279968140182,270.4,270400.0,1387,0.33525594808940157,0.5962509012256669,0.0684931506849315,0.33525594808940157,0.6647440519105984,Värmdö (Kvarnberget-Hästhagen)
Värmdö (Munkmora-Ösby grind),1909,1286,623,0.32634887375589317,245.0,245000.0,1046,0.48852772466539196,0.42447418738049714,0.0869980879541109,0.48852772466539196,0.511472275334608,Värmdö (Munkmora-Ösby grind)
Värmdö (Mörtnäs),2950,2631,319,0.10813559322033899,528.1,528100.0,996,0.09437751004016064,0.26506024096385544,0.6405622489959839,0.09437751004016064,0.9056224899598394,Värmdö (Mörtnäs)
Värmdö (Norra Värdölandet-Skärgården),3727,3319,408,0.1094714247383955,282.6,282600.0,1821,0.11367380560131796,0.06699615595826469,0.8193300384404174,0.11367380560131796,0.886326194398682,Värmdö (Norra Värdölandet-Skärgården)
Värmdö (Ormingelandet),1349,1197,152,0.11267605633802817,444.1,444100.0,488,0.03278688524590164,0.03483606557377049,0.9323770491803278,0.03278688524590164,0.9672131147540983,Värmdö (Ormingelandet)
Värmdö (Skeppsdalsström),812,735,77,0.09482758620689655,425.2,425200.0,287,0.024390243902439025,0.0,0.975609756097561,0.024390243902439025,0.975609756097561,Värmdö (Skeppsdalsström)
Värmdö (Stavsnäs),1684,1299,385,0.22862232779097388,264.1,264100.0,723,0.25587828492392806,0.03734439834024896,0.706777316735823,0.25587828492392806,0.7441217150760719,Värmdö (Stavsnäs)
Värmdö (Torsby),1458,1206,252,0.1728395061728395,371.1,371100.0,547,0.16087751371115175,0.17550274223034734,0.6636197440585009,0.16087751371115175,0.8391224862888482,Värmdö (Torsby)
Värmdö (Älvsala-Skärmarö),1551,1337,214,0.13797549967762734,280.8,280800.0,682,0.021994134897360705,0.017595307917888565,0.9604105571847508,0.021994134897360705,0.9780058651026393,Värmdö (Älvsala-Skärmarö)
Värmdö (Ösbydalen-Holmviksskogen),1947,1706,241,0.12378017462763226,326.1,326100.0,781,0.0012804097311139564,0.618437900128041,0.38028169014084506,0.0012804097311139564,0.998719590268886,Värmdö (Ösbydalen-Holmviksskogen)
Värmdö (Östra Ekedal-Höjdhagen),1513,1298,215,0.14210178453403832,329.7,329700.0,633,0.045813586097946286,0.6492890995260664,0.3048973143759874,0.045813586097946286,0.9541864139020537,Värmdö (Östra Ekedal-Höjdhagen)
Järfälla (Barkarby västra-Skälby östra),3983,3044,939,0.23575194576952047,399.8,399800.0,1327,0.04144687264506405,0.13715146948003015,0.8214016578749058,0.04144687264506405,0.9585531273549359,Järfälla (Barkarby västra-Skälby östra)
Järfälla (Barkarby östra-Veddesta),3325,2222,1103,0.33172932330827065,318.8,318800.0,1727,0.49623624782860454,0.4261725535610886,0.07759119861030689,0.49623624782860454,0.5037637521713955,Järfälla (Barkarby östra-Veddesta)
Järfälla (Barkarbystaden norra),6214,3341,2873,0.46234309623430964,341.3,341300.0,3892,0.6125385405960946,0.34969167523124356,0.03776978417266187,0.6125385405960946,0.3874614594039055,Järfälla (Barkarbystaden norra)
Järfälla (Bolinder Strand),1926,1520,406,0.21079958463136034,328.3,328300.0,1045,0.0066985645933014355,0.8947368421052632,0.09856459330143541,0.0066985645933014355,0.9933014354066986,Järfälla (Bolinder Strand)
Järfälla (Centrala Jakobsberg),5625,2643,2982,0.5301333333333333,209.5,209500.0,2809,0.5496618013527946,0.4503381986472054,0.0,0.5496618013527946,0.4503381986472054,Järfälla (Centrala Jakobsberg)
Järfälla (Centrala Kallhäll),4662,2978,1684,0.3612183612183612,262.7,262700.0,2776,0.08069164265129683,0.8890489913544669,0.03025936599423631,0.08069164265129683,0.9193083573487032,Järfälla (Centrala Kallhäll)
Järfälla (Centrala Söderhöjden),1116,372,744,0.6666666666666666,177.0,177000.0,416,1.0,0.0,0.0,1.0,0.0,Järfälla (Centrala Söderhöjden)
Järfälla (Centrala Viksjö norra),2205,1498,707,0.32063492063492066,235.4,235400.0,1168,0.3159246575342466,0.6840753424657534,0.0,0.3159246575342466,0.6840753424657534,Järfälla (Centrala Viksjö norra)
