"region","födelseregion","kön","Antal 2020","Antal 2021","Antal 2022","Antal 2023"
"Upplands Väsby (Bollstanäs)","Sverige","totalt",5002,4972,4916,4843
"Upplands Väsby (Bollstanäs)","totalt","totalt",6062,6019,5982,5920
"Upplands Väsby (Hammarby-Vaxmyra)","Sverige","totalt",1685,1707,1871,1894
"Upplands Väsby (Hammarby-Vaxmyra)","totalt","totalt",2409,2533,2806,2884
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)","Sverige","totalt",3868,3892,3905,3890
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)","totalt","totalt",4918,5010,5106,5112
"Upplands Väsby (Odenslunda södra-Bredden)","Sverige","totalt",2578,2541,2524,2496
"Upplands Väsby (Odenslunda södra-Bredden)","totalt","totalt",3285,3259,3270,3266
"Upplands Väsby (Runby norra)","Sverige","totalt",1497,1465,1481,1427
"Upplands Väsby (Runby norra)","totalt","totalt",2019,1989,2025,1922
"Upplands Väsby (Runby södra-Ed)","Sverige","totalt",3507,3566,3654,3789
"Upplands Väsby (Runby södra-Ed)","totalt","totalt",5070,5184,5377,5543
"Upplands Väsby (Skälby-Brunnby Vik)","Sverige","totalt",2585,2531,2507,2432
"Upplands Väsby (Skälby-Brunnby Vik)","totalt","totalt",3782,3727,3687,3650
"Upplands Väsby (Smedby södra-Älvsunda)","Sverige","totalt",1396,1382,1362,1356
"Upplands Väsby (Smedby södra-Älvsunda)","totalt","totalt",2276,2293,2325,2364
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)","Sverige","totalt",2524,2561,2643,2763
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)","totalt","totalt",4894,5098,5469,5811
"Upplands Väsby (Upplands Väsby omland)","Sverige","totalt",665,684,719,734
"Upplands Väsby (Upplands Väsby omland)","totalt","totalt",802,822,863,898
"Upplands Väsby (Vilunda västra)","Sverige","totalt",2901,2946,3030,3120
"Upplands Väsby (Vilunda västra)","totalt","totalt",4319,4564,4905,5280
"Upplands Väsby (Vilunda östra)","Sverige","totalt",3849,3791,3782,3722
"Upplands Väsby (Vilunda östra)","totalt","totalt",7348,7322,7447,7460
"Vallentuna (Karby-Brottby)","Sverige","totalt",1035,988,1000,1000
"Vallentuna (Karby-Brottby)","totalt","totalt",1216,1159,1165,1156
"Vallentuna (Lindholmen)","Sverige","totalt",1189,1202,1267,1259
"Vallentuna (Lindholmen)","totalt","totalt",1338,1359,1444,1418
"Vallentuna (Vallentuna centrala tätort)","Sverige","totalt",5679,5764,5864,5988
"Vallentuna (Vallentuna centrala tätort)","totalt","totalt",7464,7606,7883,8032
"Vallentuna (Vallentuna landsbygd)","Sverige","totalt",5165,5172,5230,5223
"Vallentuna (Vallentuna landsbygd)","totalt","totalt",6022,6053,6155,6198
"Vallentuna (Vallentuna södra tätort)","Sverige","totalt",7332,7273,7365,7351
"Vallentuna (Vallentuna södra tätort)","totalt","totalt",8290,8276,8381,8408
"Vallentuna (Vallentuna västra tätort)","Sverige","totalt",2382,2361,2334,2302
"Vallentuna (Vallentuna västra tätort)","totalt","totalt",2731,2721,2743,2725
"Vallentuna (Vallentuna östra tätort)","Sverige","totalt",6127,6110,6070,6133
"Vallentuna (Vallentuna östra tätort)","totalt","totalt",7058,7072,7080,7139
"Österåker (Berga)","Sverige","totalt",3964,3988,3937,3903
