"region","upplåtelseform","Antal 2020","Antal 2021","Antal 2022","Antal 2023"
"Upplands Väsby (Bollstanäs)","hyresrätt",55,55,55,54
"Upplands Väsby (Bollstanäs)","bostadsrätt",829,829,829,829
"Upplands Väsby (Bollstanäs)","äganderätt",1318,1322,1327,1325
"Upplands Väsby (Bollstanäs)","uppgift saknas",0,0,0,0
"Upplands Väsby (Hammarby-Vaxmyra)","hyresrätt",284,284,284,283
"Upplands Väsby (Hammarby-Vaxmyra)","bostadsrätt",550,576,576,576
"Upplands Väsby (Hammarby-Vaxmyra)","äganderätt",293,292,290,289
"Upplands Väsby (Hammarby-Vaxmyra)","uppgift saknas",0,0,0,0
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)","hyresrätt",170,171,171,170
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)","bostadsrätt",380,402,415,415
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)","äganderätt",1156,1151,1150,1153
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)","uppgift saknas",0,0,0,0
"Upplands Väsby (Odenslunda södra-Bredden)","hyresrätt",77,77,77,78
"Upplands Väsby (Odenslunda södra-Bredden)","bostadsrätt",7,7,7,7
"Upplands Väsby (Odenslunda södra-Bredden)","äganderätt",1072,1072,1065,1069
"Upplands Väsby (Odenslunda södra-Bredden)","uppgift saknas",0,0,0,0
"Upplands Väsby (Runby norra)","hyresrätt",512,493,493,493
"Upplands Väsby (Runby norra)","bostadsrätt",178,178,178,178
"Upplands Väsby (Runby norra)","äganderätt",233,234,231,228
"Upplands Väsby (Runby norra)","uppgift saknas",0,0,0,0
"Upplands Väsby (Runby södra-Ed)","hyresrätt",1027,1027,1027,1029
"Upplands Väsby (Runby södra-Ed)","bostadsrätt",797,818,854,897
"Upplands Väsby (Runby södra-Ed)","äganderätt",390,395,393,395
"Upplands Väsby (Runby södra-Ed)","uppgift saknas",0,0,0,0
"Upplands Väsby (Skälby-Brunnby Vik)","hyresrätt",848,847,847,849
"Upplands Väsby (Skälby-Brunnby Vik)","bostadsrätt",149,149,149,149
"Upplands Väsby (Skälby-Brunnby Vik)","äganderätt",586,588,590,588
"Upplands Väsby (Skälby-Brunnby Vik)","uppgift saknas",0,0,0,0
"Upplands Väsby (Smedby södra-Älvsunda)","hyresrätt",272,272,273,273
"Upplands Väsby (Smedby södra-Älvsunda)","bostadsrätt",816,816,816,816
"Upplands Väsby (Smedby södra-Älvsunda)","äganderätt",5,5,5,6
"Upplands Väsby (Smedby södra-Älvsunda)","uppgift saknas",0,0,0,0
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)","hyresrätt",1675,1831,2024,2131
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)","bostadsrätt",730,788,788,788
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)","äganderätt",5,6,5,5
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)","uppgift saknas",0,0,0,0
"Upplands Väsby (Upplands Väsby omland)","hyresrätt",60,60,68,67
"Upplands Väsby (Upplands Väsby omland)","bostadsrätt",11,11,11,11
"Upplands Väsby (Upplands Väsby omland)","äganderätt",240,235,234,235
"Upplands Väsby (Upplands Väsby omland)","uppgift saknas",0,0,0,0
"Upplands Väsby (Vilunda västra)","hyresrätt",657,683,865,866
"Upplands Väsby (Vilunda västra)","bostadsrätt",1536,1536,1536,1603
"Upplands Väsby (Vilunda västra)","äganderätt",382,387,389,389
"Upplands Väsby (Vilunda västra)","uppgift saknas",0,0,0,0
"Upplands Väsby (Vilunda östra)","hyresrätt",1608,1608,1618,1618
"Upplands Väsby (Vilunda östra)","bostadsrätt",1639,1639,1639,1639
"Upplands Väsby (Vilunda östra)","äganderätt",138,140,139,142
"Upplands Väsby (Vilunda östra)","uppgift saknas",0,0,0,0
