"region","inkomstkomponent","kön","Medelvärde för samtliga, tkr 2020","Medelvärde för samtliga, tkr 2021","Medelvärde för samtliga, tkr 2022","Medelvärde för samtliga, tkr 2023"
"Upplands Väsby (Bollstanäs)","löneinkomst ","totalt",438.3,449.7,424.0,409.7
"Upplands Väsby (Hammarby-Vaxmyra)","löneinkomst ","totalt",328.5,346.2,294.9,291.0
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)","löneinkomst ","totalt",388.9,386.9,377.4,356.4
"Upplands Väsby (Odenslunda södra-Bredden)","löneinkomst ","totalt",349.0,355.7,343.9,322.5
"Upplands Väsby (Runby norra)","löneinkomst ","totalt",327.2,337.0,321.6,313.5
"Upplands Väsby (Runby södra-Ed)","löneinkomst ","totalt",328.3,336.7,329.1,322.0
"Upplands Väsby (Skälby-Brunnby Vik)","löneinkomst ","totalt",304.3,307.5,303.4,289.8
"Upplands Väsby (Smedby södra-Älvsunda)","löneinkomst ","totalt",254.0,253.4,246.2,236.8
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)","löneinkomst ","totalt",215.4,222.9,222.1,215.5
"Upplands Väsby (Upplands Väsby omland)","löneinkomst ","totalt",317.7,319.0,316.1,304.2
"Upplands Väsby (Vilunda västra)","löneinkomst ","totalt",286.7,288.5,287.4,284.6
"Upplands Väsby (Vilunda östra)","löneinkomst ","totalt",231.4,237.1,234.8,230.0
"Vallentuna (Karby-Brottby)","löneinkomst ","totalt",325.2,336.1,331.8,331.5
"Vallentuna (Lindholmen)","löneinkomst ","totalt",409.8,414.3,395.0,388.6
"Vallentuna (Vallentuna centrala tätort)","löneinkomst ","totalt",262.5,268.0,262.2,254.8
"Vallentuna (Vallentuna landsbygd)","löneinkomst ","totalt",331.0,339.7,327.0,313.3
"Vallentuna (Vallentuna södra tätort)","löneinkomst ","totalt",464.6,476.3,457.5,435.4
"Vallentuna (Vallentuna västra tätort)","löneinkomst ","totalt",393.6,412.4,407.9,389.4
"Vallentuna (Vallentuna östra tätort)","löneinkomst ","totalt",420.7,431.0,416.2,395.8
"Österåker (Berga)","löneinkomst ","totalt",268.5,273.7,269.4,259.0
"Österåker (Brevik-Lervik-Flaxenvik)","löneinkomst ","totalt",426.3,444.1,429.1,412.4
"Österåker (Hacksta-Centrumområdet)","löneinkomst ","totalt",254.0,260.5,252.2,247.3
"Österåker (Ljusterö-omkringliggande skärgård)","löneinkomst ","totalt",208.8,218.9,212.1,204.0
"Österåker (Margeretelunds centrum)","löneinkomst ","totalt",393.3,396.3,389.8,378.6
"Österåker (Norrgårdshöjden)","löneinkomst ","totalt",212.3,216.7,206.9,197.1
"Österåker (Roslagskulla-Furusundsleden)","löneinkomst ","totalt",307.8,322.8,321.4,307.9
"Österåker (Rydbo)","löneinkomst ","totalt",424.8,436.0,420.8,405.4
"Österåker (Skånsta-Singö)","löneinkomst ","totalt",379.5,394.6,380.8,365.9
"Österåker (Stava-Smedby-Sjökarby)","löneinkomst ","totalt",370.8,376.4,363.8,353.3
"Österåker (Svinninge)","löneinkomst ","totalt",465.6,508.3,477.1,467.2
"Österåker (Söra)","löneinkomst ","totalt",274.3,289.0,285.8,273.0
"Österåker (Tuna)","löneinkomst ","totalt",351.6,363.4,354.9,343.2
"Österåker (Täljö-Runö)","löneinkomst ","totalt",463.2,493.7,473.6,459.4
"Österåker (Österskär)","löneinkomst ","totalt",490.5,519.2,501.1,470.3
"Värmdö (Björnkärret-Nyhem)","löneinkomst ","totalt",281.6,291.4,288.1,279.4
"Värmdö (Djurö-Vindö)","löneinkomst ","totalt",236.8,238.4,241.1,233.9
"Värmdö (Farstalandet-Charlottendal)","löneinkomst ","totalt",365.5,374.0,372.0,358.1
"Värmdö (Hagaberg)","löneinkomst ","totalt",586.3,602.1,577.7,558.3
"Värmdö (Hemmesta)","löneinkomst ","totalt",363.5,370.4,372.5,354.0
"Värmdö (Herrviksnäs-Strömma-Hässelmara)","löneinkomst ","totalt",377.4,388.6,395.1,368.4
"Värmdö (Ingarö norr)","löneinkomst ","totalt",437.4,447.2,428.3,391.4
"Värmdö (Ingarö söder)","löneinkomst ","totalt",356.9,342.8,335.3,317.7
"Värmdö (Kvarnberget-Hästhagen)","löneinkomst ","totalt",279.8,289.6,281.4,270.4
"Värmdö (Munkmora-Ösby grind)","löneinkomst ","totalt",249.5,258.4,257.6,245.0
"Värmdö (Mörtnäs)","löneinkomst ","totalt",541.9,568.9,561.2,528.1
"Värmdö (Norra Värdölandet-Skärgården)","löneinkomst ","totalt",287.2,290.9,293.0,282.6
"Värmdö (Ormingelandet)","löneinkomst ","totalt",459.1,461.3,447.1,444.1
"Värmdö (Skeppsdalsström)","löneinkomst ","totalt",420.5,448.7,442.6,425.2
"Värmdö (Stavsnäs)","löneinkomst ","totalt",291.0,290.7,281.6,264.1
"Värmdö (Torsby)","löneinkomst ","totalt",370.1,398.9,393.1,371.1
